just	Sadece
pasture	otlak
puppy	köpek yavrusu
eerie	ürkütücü
china	Çin
server	sunucu
floral	çiçek
hierarchical	hiyerarşik
exceed	aşmak
solitude	yalnızlık
bartender	barmen
overhead	genel gider
dissent	muhalif
pristine	bozulmamış
trajectory	yörünge
dime	on sent
cilantro	kişniş
complementary	tamamlayıcı
fisherman	balıkçı
terrace	teras
coarse	kaba
causal	nedensel
conquest	fetih
lightweight	hafif
migrant	göçmen
reef	resif
superficial	yüzeysel
nostalgia	nostalji
helping	yardım etmek
generator	jeneratör
bacterial	bakteriyel
brit	İngiliz
discourage	vazgeçirmek
fund-raising	bağış toplama
satisfactory	tatmin edici
plaster	alçı
criticize	eleştirmek
courageous	cesur
cosmetic	kozmetik
drastic	şiddetli
irrational	mantıksız
transitional	geçiş
clash	çarpışma
humiliation	aşağılama
cherokee	cherokee
grammar	dilbilgisi
insulation	yalıtım
athletics	atletizm
trivial	önemsiz
said	söz konusu
mushroom	mantar
asphalt	asfalt
continuum	süreklilik
torch	meşale
garment	giysi
baseman	meydancı
physicist	fizikçi
inmate	mahkum
blog	blog
improper	uygunsuz
suppose	sanmak
module	modül
honeymoon	balayı
mustache	bıyık
stump	kütük
hesitation	tereddüt
strategist	stratejist
cant	yapamamak
transparency	şeffaflık
bamboo	bambu
liable	sorumlu
lending	borç verme
illicit	yasadışı
hospitality	misafirperverlik
oblivious	habersiz
oyster	istiridye
kidnapping	adam kaçırma
supernatural	doğaüstü
manipulate	manipüle etmek
reactor	reaktör
nap	şekerleme
backing	destek
holder	tutucu
pub	birahane
rotten	çürük
skeleton	iskelet
monumental	anıtsal
thankful	müteşekkir
longitudinal	boyuna
novelty	yenilik
respondent	katılımcı
plasma	plazma
liberalization	serbestleştirme
loaf	somun
kinship	akrabalık
lure	cazibesi
railing	korkuluk
dissatisfaction	memnuniyetsizlik
low-cost	düşük maliyetli
redemption	kefaret
speaking	konuşuyorum
slaughter	katliam
mystical	mistik
medium-high	orta-yüksek
eternity	sonsuzluk
casting	döküm
recognizable	tanınabilir
seize	ele geçirmek
expectancy	beklenti
coefficient	katsayı
resonance	rezonans
spark	kıvılcım
thrust	itme
jealousy	kıskançlık
restrictive	kısıtlayıcı
raft	sal
alignment	hizalama
calculate	hesaplamak
imply	ima etmek
boredom	can sıkıntısı
self-efficacy	öz yeterlik
low-fat	az yağlı
humidity	nem
unconstitutional	anayasaya aykırı
downturn	gerileme
silicon	silikon
unpopular	popüler olmayan
downward	aşağı doğru
metallic	metalik
procession	alay
peninsula	yarımada
absorption	emilim
aura	aura
salsa	salsa
boarding	yatılı
thickness	kalınlık
clubhouse	kulüp binası
avenue	cadde
tattoo	dövme
heap	yığın
ruler	cetvel
arrogance	kibir
hitter	vurucu
motivational	motivasyonel
respectful	saygılı
chosen	seçilmiş
jeopardy	tehlike
indifferent	kayıtsız
gardener	bahçıvan
sentimental	duygusal
continental	kıtasal
cellar	kiler
decoration	dekorasyon
hype	heyecanlandırmak
restrict	kısıtlamak
volcanic	volkanik
withstand	dayanmak
irregular	düzensiz
acting	oyunculuk
dictatorship	diktatörlük
breakup	ayrılmak
autopsy	otopsi
dive	dalmak
stigma	damgalanma
playful	şakacı
mixing	karıştırma
simultaneous	eşzamanlı
ominous	uğursuz
est	Doğu
dwarf	cüce
ruin	mahvetmek
insult	hakaret
strap	kayış
click	tıklamak
formulation	formülasyon
aged	yaşlı
to	ile
impress	etkilemek
customary	geleneksel
versatile	çok yönlü
afghan	Afgan
introductory	giriş
lutheran	luteran
feather	tüy
watershed	dönüm noktası
tornado	kasırga
folder	dosya
seriousness	ciddiyet
supplement	ek
blindness	körlük
brake	fren
high-level	üst düzey
boxer	boksör
plaque	plak
preview	önizleme
bitterness	acılık
noticeable	dikkat çekici
high-end	üst düzey
entrepreneurial	girişimci
stylish	şık
one-time	bir kerelik
believer	mümin
vitality	canlılık
saving	tasarruf
meadow	çayır
procedural	usule ilişkin
dump	çöplük
epic	destansı
turnaround	geri dönüş
trench	hendek
comprehend	anlamak
lance	mızrak
shack	kulübe
uprising	ayaklanma
litter	yavrulamak
chilly	serin
feat	ustalık
retrospect	geçmişe bakmak
youre	sen
crusade	haçlı seferi
plug	fiş
loft	çatı katı
groundwater	yeraltı suyu
su	öyle
charismatic	karizmatik
anguish	ıstırap
censorship	sansür
collegiate	üniversite
learner	öğrenci
glossy	parlak
textual	metinsel
heir	mirasçı
bra	sutyen
mosquito	sivrisinek
freelance	serbest çalışan
seating	oturma
jewel	mücevher
protagonist	kahraman
constitute	oluşturmak
interdisciplinary	disiplinlerarası
bump	çarpmak
td	td
roommate	oda arkadaşı
humane	insancıl
packet	paket
champ	şampiyon
aerobic	aerobik
farewell	veda
millionaire	milyoner
astronomer	astronom
organism	organizma
artery	arter
splash	sıçrama
reckless	pervasız
suicidal	intihara meyilli
avid	hırslı
retaliation	misilleme
catholicism	Katoliklik
ltd	Ltd.
sn	sn
intentional	kasıtlı
eyebrow	kaş
lighter	çakmak
persona	kişilik
evolve	evrim geçirmek
consolidation	konsolidasyon
submarine	denizaltı
phony	sahte
filthy	pis
avoidance	kaçınma
id	İD
sewer	kanalizasyon
bunker	sığınak
membrane	membran
dizzy	başı dönmek
symphony	senfoni
shooter	atıcı
disposition	eğilim
retailer	perakendeci
nuisance	sıkıntı
hefty	iri
shovel	kürek
quake	deprem
clown	palyaço
eccentric	eksantrik
clout	Nüfuz
nylon	naylon
nun	rahibe
buffet	büfe
pluralism	çoğulculuk
prominence	şöhret
asbestos	asbest
verify	doğrulamak
surrender	teslim olmak
playwright	oyun yazarı
fulfillment	yerine getirilmesi
sizable	oldukça büyük
celestial	göksel
constituency	seçim bölgesi
ma	anne
spacious	ferah
first-time	ilk kez
vengeance	intikam
cruelty	zulüm
confidentiality	gizlilik
deregulation	kuralsızlaştırma
arbitration	tahkim
renovation	yenileme
automotive	otomotiv
landfill	çöp sahası
rhythmic	ritmik
breach	çiğneme
accumulation	birikim
discrepancy	tutarsızlık
accompany	eşlik etmek
gracious	zarif
chic	şık
buddhist	Budist
stereotype	stereotip
electorate	seçmen
subscale	alt ölçek
consult	danışmak
dresser	şifoniyer
greet	selamlaşmak
bourgeois	burjuva
distribute	dağıtmak
famine	kıtlık
persuasive	ikna edici
tab	sekme
envy	imrenmek
catalyst	katalizör
trim	düzeltme
diversion	oyalama
apron	apron
sermon	vaaz
cube	küp
inaccurate	hatalı
geological	jeolojik
vase	vazo
pudding	puding
crater	krater
gunfire	silah sesi
bakery	fırın
trader	tüccar
exclude	hariç tutmak
mock	sahte
presbyterian	presbiteryen
blender	karıştırıcı
advise	öğüt vermek
evacuation	tahliye
fuckin	lanet
bust	baskın yapmak
scalp	kafa derisi
vegetarian	vejetaryen
demeanor	tavır
unrealistic	gerçekçi olmayan
kuwaiti	Kuveyt
influx	akın
freight	navlun
wreckage	enkaz
commonplace	sıradan
dude	dostum
yacht	yat
high-risk	yüksek riskli
filmmaker	film yapımcısı
misconduct	suiistimal
factual	gerçek
socialization	sosyalleşme
purity	saflık
accommodation	konaklama
showbiz	şov dünyası
diminish	azaltmak
modify	değiştirmek
saw	testere
one-year	bir yıllık
bury	gömmek
utter	mutlak
paranoid	paranoyak
cocoa	kakao
windy	rüzgarlı
practitioner	uygulayıcı
plywood	kontrplak
loading	yükleniyor
cylinder	silindir
pier	iskele
lava	lav
cross-country	Memleket boyunca
vendor	satıcı
abrupt	ani
exhaust	egzoz
popcorn	patlamış mısır
condo	apartman dairesi
referral	sevk
upscale	lüks
covert	gizli
listener	dinleyici
examiner	denetçi
nickel	nikel
cohort	kohort
acquaintance	tanıdık
pulp	kağıt hamuru
cloak	pelerin
filing	dosyalama
hired	işe alındı
in-depth	derinlemesine
facade	cephe
sweaty	terli
rep	temsilci
federation	federasyon
cuff	manşet
pesticide	pestisit
plateau	plato
flee	kaçmak
ancestral	atalardan kalma
punitive	cezalandırıcı
aerospace	havacılık
congestion	tıkanıklık
pianist	piyanist
heroine	kadın kahraman
reinforcement	takviye
insulin	insülin
makeshift	geçici
enhancement	geliştirme
longing	özlem
caucus	kurultay
rampant	başıboş
doom	kıyamet
niece	yeğen
outspoken	açık sözlü
longevity	uzun ömürlülük
exemption	muafiyet
delightful	keyifli
mount	montaj
tuberculosis	tüberküloz
bankrupt	iflas etmiş
centerpiece	en önemli parça
citrus	narenciye
hemisphere	yarımküre
perpetual	sürekli
fragrant	kokulu
monastery	manastır
heartbeat	kalp atışı
napkin	peçete
equilibrium	denge
appraisal	değerlendirme
nucleus	çekirdek
fatty	yağlı
entitlement	hak
solving	çözme
cavity	boşluk
prevail	hakim olmak
three-dimensional	üç boyutlu
recess	teneffüs
asparagus	kuşkonmaz
malaria	sıtma
tasty	lezzetli
bedside	başucu
regimen	rejim
foreground	ön plan
sibling	kardeş
retrieve	geri almak
perennial	çok yıllık
herbal	bitkisel
bend	bükülmek
retrospective	geriye dönük
dictionary	sözlük
relay	röle
authoritative	yetkili
inflammation	iltihap
contentious	çekişmeli
continuation	devam
candidacy	adaylık
assimilation	asimilasyon
organizer	organizatör
inner-city	şehir içi
barren	çorak
self-determination	kendi kaderini tayin etme
unrest	huzursuzluk
brutality	vahşet
camel	deve
that	O
freeze	dondurmak
apparel	giyim
fish	balık
negotiating	müzakere
vine	asma
ledge	çıkıntı
obsolete	modası geçmiş
nightly	her gece
unanimous	oybirliğiyle
disparate	farklı
antitrust	antitröst
mommy	anne
turtle	kaplumbağa
mundane	sıradan
cedar	sedir
pour	dökmek
salient	göze çarpan
entertain	eğlendirmek
yearly	yıllık
ceremonial	tören
forefront	ön planda
buildup	kurmak
liner	astar
coordinate	koordinat
plumbing	sıhhi tesisat
handkerchief	mendil
networking	ağ oluşturma
intuitive	sezgisel
judaism	Yahudilik
concession	imtiyaz
govern	yönetmek
idol	idol
storytelling	hikaye anlatımı
invasive	istilacı
ethnographic	etnografik
martian	Marslı
goodwill	iyi niyet
planting	ekme
cough	öksürük
vanity	gösteriş
precinct	bölge
cancel	iptal etmek
greatness	büyüklük
punk	punk
initiate	başlatmak
outright	düpedüz
horrific	korkunç
assortment	çeşitler
experimentation	deneme
farmhouse	çiftlik evi
locus	yer
butcher	Kasap
indonesian	Endonezya dili
cloning	klonlama
indispensable	vazgeçilmez
prudent	ihtiyatlı
underwater	sualtı
tidal	gelgit
deterioration	bozulma
monk	keşiş
on-site	yerinde
spiral	sarmal
juicy	sulu
sophistication	karmaşıklık
dial	aramak
pneumonia	akciğer iltihaplanması
insignificant	önemsiz
guru	guru
duo	ikili
designation	atama
fluorescent	floresan
cleaner	temizleyici
rag	paçavra
pilgrimage	hac
undergo	katlanmak
oriental	oryantal
dividend	temettü
gravitational	yerçekimi
aesthetics	estetik
deception	aldatma
devote	adamak
richness	zenginlik
paperback	ciltsiz kitap
intend	niyet etmek
visionary	ileri görüşlü
arousal	uyarılma
symbolism	sembolizm
subsidiary	yan kuruluş
suppress	bastırmak
and	Ve
enjoyable	eğlenceli
long-range	uzun menzilli
is	öyle
wrongdoing	haksızlık
counting	sayma
luxurious	lüks
jersey	Jersey
rogue	haydut
gin	cin
worthless	değersiz
ecstasy	vecd
alcoholism	alkolizm
para	ile
grove	koru
multilateral	çok taraflı
plum	Erik
brochure	broşür
logging	günlüğe kaydetme
assert	ileri sürmek
sensibility	duyarlılık
sneak	gizlice
constellation	takımyıldızı
una	A
mixer	karıştırıcı
offender	suçlu
optics	optik
curly	kıvırcık
devastation	yıkım
frail	zayıf
pt	puan
fridge	buzdolabı
fragrance	koku
tenant	kiracı
strand	iplik
obstruction	tıkanıklık
attain	ulaşmak
motionless	hareketsiz
maritime	denizcilik
aboriginal	yerli
fade	solmak
greedy	aç gözlü
rainfall	yağış
irresistible	karşı konulamaz
incumbent	görevli
characterization	karakterizasyon
violate	ihlal etmek
novice	acemi
arabic	Arapça
cruiser	kruvazör
lavish	müsrif
gaming	oyun
render	oluşturmak
doubtful	şüpheli
addict	bağımlı
gravy	sos
sniper	keskin nişancı
allergic	alerjik
prophet	bir peygamber
deviation	sapma
railway	demiryolu
rib	kaburga
freshwater	tatlı su
terminology	terminoloji
intellect	akıl
sitcom	durum komedisi
fort	kale
stain	lekelemek
adherence	bağlılık
solemn	ciddi
pupil	öğrenci
revive	canlandırmak
crush	ezmek
overt	açık
chlorine	klor
washing	yıkama
conservatism	muhafazakarlık
last-minute	son dakika
transnational	ulusötesi
cultivation	yetiştirme
restriction	kısıtlama
motherhood	annelik
explode	patlamak
numb	hissiz
intuition	sezgi
directory	dizin
spaghetti	spagetti
downside	olumsuz tarafı
communion	cemaat
stringent	katı
stall	durak
caffeine	kafein
phenomenal	olağanüstü
flip	çevir
lifting	kaldırma
mythology	mitoloji
dismay	dehşet
cooler	soğutucu
jelly	jöle
stray	başıboş
crossroads	kavşak
cd-rom	CD-rom
bony	kemikli
curry	köri
perjury	yalancı şahitlik
fallout	araları açılmak
microscope	mikroskop
barefoot	yalınayak
affiliate	bağlı kuruluş
lobbyist	lobici
off	kapalı
steer	yönlendirmek
expansive	geniş
singular	tekil
unilateral	tek taraflı
royalty	telif hakkı
gig	konser
stabilize	stabilize etmek
puff	puf
puppet	kukla
unsafe	güvensiz
statutory	yasal
payoff	hesabı kapatmak
persecution	zulüm
ordinance	yönetmelik
hysterical	histerik
terrestrial	karasal
vantage	bakış açısı
ex-wife	eski eş
commuter	banliyö
navajo	navaho
drift	sürüklenme
subsidy	sübvansiyon
clumsy	sakar
glamour	cazibe
turbine	türbin
amnesty	af
zest	lezzet
prosecute	dava açmak
amazement	şaşkınlık
bluff	blöf
chalk	tebeşir
mint	nane
dreadful	korkunç
scout	izci
problem-solving	problem çözme
containment	çevreleme
limestone	kireçtaşı
marsh	bataklık
endorse	onaylamak
gel	jel
undertake	üstlenmek
scant	yetersiz
fundamentalist	kökten dinci
ballroom	balo salonu
stir	karıştırmak
brisk	canlı
impetus	ivme
granddaughter	torunu
stepfather	üvey baba
expanse	genişlik
handwriting	el yazısı
self-confidence	kendine güven
dorm	yurt
kosher	koşer
tow	çekici
dread	korku
displacement	yer değiştirme
staple	zımba
emptiness	boşluk
rite	ayin
portrayal	tasvir
occupy	işgal etmek
psychosocial	psikososyal
mourning	yas
dysfunction	işlev bozukluğu
opaque	opak
spokesperson	sözcü
gloom	kasvet
nausea	bulantı
speculate	spekülasyon yapmak
tolerant	hoşgörülü
interpretive	yorumlayıcı
gala	gala
paramount	en önemli
satin	saten
orchard	meyve bahçesi
trafficking	kaçakçılık
reconcile	uzlaştırmak
penetrate	nüfuz etmek
caring	önemseme
elegance	zarafet
noteworthy	dikkate değer
breadth	genişlik
postseason	sezon sonrası
losing	kaybetmek
blur	bulanıklık
thriller	gerilim
viking	viking
blueprint	plan
rum	ROM
coercion	zorlama
hesitate	tereddüt etmek
anthropologist	antropolog
hebrew	İbranice
modernist	modernist
fold	katlamak
bail	kefaletle serbest bırakmak
portray	canlandırmak
plump	tombul
motto	slogan
malpractice	yanlış uygulama
spill	dökülme
bloc	blok
editing	düzenleme
characterize	karakterize etmek
world-class	Dünya standartlarında
calling	aramak
drizzle	çiseleyen yağmur
needy	muhtaç
extinct	yok olmuş
canon	kanon
midwestern	orta batı
raising	yükseltme
muted	sessiz
horseback	at sırtında
diagram	diyagram
fetus	fetüs
knight	şövalye
victimization	mağduriyet
helm	dümen
interviewer	görüşmeci
shareholder	hissedar
utilization	kullanım
styling	şekillendirme
unreasonable	mantıksız
placebo	plasebo
bilingual	iki dilli
capsule	kapsül
contender	yarışmacı
brokerage	komisyonculuk
bracelet	bileklik
deter	caydırmak
finite	sonlu
alienation	yabancılaşma
unofficial	resmi olmayan
comedian	komedyen
execute	uygulamak
multitude	çokluk
hue	renk tonu
attribution	ilişkilendirme
bullshit	saçmalık
boycott	boykot
accreditation	akreditasyon
one-way	Tek Yön
broom	süpürge
manifestation	tezahür
bum	serseri
stint	süre
breaking	kırma
daring	cesur
heavenly	göksel
sting	acı
librarian	kütüphaneci
atom	atom
vault	kasa
upbeat	iyimser
shine	parlamak
deprivation	yoksunluk
pear	armut
discrete	ayrık
vapor	buhar
pineapple	ananas
exterior	dış
outdoors	açık havada
coma	koma
jerk	sarsmak
disparity	eşitsizlik
sulfur	sülfür
metabolism	metabolizma
deficiency	eksiklik
rusty	paslı
drummer	davulcu
resemble	benzemek
mortal	ölümlü
powerless	güçsüz
ultraviolet	ultraviyole
grey	gri
fuss	yaygara
bounty	ödül
frost	don
obey	itaat etmek
miraculous	mucizevi
predictive	öngörücü
curricular	müfredat
hardship	zorluk
paycheck	maaş çeki
sweetness	tatlılık
me	Ben
alphabet	alfabe
bladder	mesane
contingency	beklenmedik durum
foyer	fuaye
resurrection	diriliş
conspicuous	göze çarpan
farmland	tarım arazisi
futile	boşuna
abs	karın kasları
deed	senet
offset	telafi etmek
humility	tevazu
cookbook	yemek kitabı
needless	gereksiz
prostitute	fahişe
lever	kaldıraç
submission	teslimiyet
challenger	meydan okuyan
assemble	bir araya getirmek
murky	karanlık
insecurity	güvensizlik
burger	burger
willow	söğüt
candid	samimi
gothic	gotik
mantle	manto
masterpiece	şaheser
conceal	gizlemek
sloppy	özensiz
luminous	aydınlık
accelerate	hızlanmak
sly	kurnaz
sterile	steril
hypocrisy	ikiyüzlülük
heavyweight	ağır sıklet
nationality	milliyet
biotechnology	biyoteknoloji
shady	gölgeli
state-of-the-art	Teknoloji harikası
swollen	şişmiş
beverage	içecek
info	bilgi
tan	bronzluk
motif	motif
bracket	braket
irritation	tahriş
late-night	gece yarısı
greasy	yapışkan
rectangular	dikdörtgen
holistic	bütünsel
sectarian	mezhepçi
socket	soket
donate	bağış yapmak
attentive	özenli
ruthless	acımasız
liaison	irtibat
knob	topuz
osteoporosis	kemik erimesi
promotional	promosyon
salty	tuzlu
proprietary	tescilli
unhealthy	sağlıksız
two-way	iki yönlü
norwegian	Norveççe
mahogany	maun
anyhow	neyse
enron	Enron
skip	atlamak
all-purpose	çok amaçlı
blackness	siyahlık
pediatric	pediatrik
serum	serum
unthinkable	düşünülemez
inauguration	resmen işe başlama
alleviate	hafifletmek
usefulness	kullanışlılık
fortress	kale
console	konsol
pollen	polen
taxation	vergilendirme
biomass	biyokütle
stuck	sıkışmak
imbalance	dengesizlik
womb	rahim
pharmacy	eczane
rig	teçhizat
antibiotic	antibiyotik
sticker	etiket
statistic	istatistik
bully	kabadayı
tavern	meyhane
sediment	tortu
revolt	isyan
buffer	tampon
testament	vasiyet
fm	fm
ringing	zil
indicative	gösterge niteliğinde
rustic	rustik
cleansing	temizlik
tofu	tofu
navigate	gezinmek
populist	popülist
managerial	idari
specimen	numune
enrichment	zenginleştirme
eclectic	eklektik
inefficient	verimsiz
dismissal	işten çıkarılma
reproduce	yeniden üretmek
dove	güvercin
dismal	kasvetli
doctorate	doktora
subordinate	ast
crackdown	baskı
flap	kanat
graph	grafik
wander	dolaşmak
squirrel	sincap
speculative	spekülatif
havoc	hasar
articulate	açıkça ifade etmek
best-known	en çok bilinen
worn	yıpranmış
microscopic	mikroskobik
cushion	minder
hesitant	tereddütlü
snowy	karlı
platinum	platin
mileage	kilometre
radiant	radyant
vicinity	civar
combustion	yanma
allegation	iddia
first-round	ilk tur
orbital	orbital
slab	levha
faction	hizip
synagogue	sinagog
latitude	enlem
proficiency	yeterlilik
inclination	eğim
cradle	beşik
haircut	saç kesimi
residue	kalıntı
distortion	çarpıtma
ballpark	basketbol sahası
astronaut	astronot
unification	birleşme
hp	hp
menace	tehdit
offseason	sezon dışı
kinda	gibi
bunk	ranza
skyline	ufuk çizgisi
tyranny	zorbalık
reelection	yeniden seçilme
bonding	bağlama
somber	kasvetli
pitching	atış
silhouette	siluet
plentiful	bol
allowance	ödenek
nanny	dadı
vinyl	vinil
hegemony	hegemonya
dysfunctional	işlevsiz
slack	gevşek
expenditure	harcama
accusation	suçlama
psychiatry	psikiyatri
sinister	uğursuz
leftover	artık
might	belki
consume	tüketmek
numerical	sayısal
trek	yürüyüş
hallmark	ayırt edici özellik
frying	kızartma
licensing	lisanslama
skier	kayakçı
nutrient	besin
nafta	nafta
oppressive	baskıcı
timetable	zaman çizelgesi
rehab	rehabilitasyon
cider	elma şarabı
admire	beğenmek
thrive	gelişmek
traction	çekiş
marrow	ilik
float	batmadan yüzmek
pertinent	ilgili
auditorium	oditoryum
pony	midilli
golfer	golfçü
oversee	denetlemek
exploratory	keşif amaçlı
bailout	kurtarma paketi
discern	ayırt etmek
ant	karınca
meager	yetersiz
flaw	kusur
molecule	molekül
hairy	kıllı
parcel	parsel
shadowy	gölgeli
brandy	Brendi
coating	kaplama
equitable	adil
adjustable	ayarlanabilir
starvation	açlık
rosemary	biberiye
defiant	meydan okuyan
peril	tehlike
dissertation	tez
sanitation	sanitasyon
wiring	kablolama
torn	yırtık
forearm	önkol
mural	duvar
geometric	geometrik
billing	faturalandırma
apprentice	çırak
savvy	anlayışlı
smoky	dumanlı
timeless	zamansız
obscene	müstehcen
sequel	devamı
high-school	lise
acculturation	kültürleşme
confess	itiraf etmek
unnatural	doğal olmayan
postcard	kartpostal
bullying	zorbalık
marxist	Marksist
finale	final
convoy	konvoy
manure	gübre
alcoholic	alkollü
ventilation	havalandırma
poignant	dokunaklı
metric	metrik
aroma	aroma
scarcity	kıtlık
decree	kararname
bang	patlama
reel	makara
defiance	meydan okuma
compliment	iltifat
blockbuster	gişe rekorları kıran film
intimidation	gözdağı
diploma	diploma
mortar	harç
platoon	müfreze
imperative	zorunluluk
antenna	anten
trendy	trendler
bidding	ihale
residency	ikamet
analogous	benzer
clearance	gümrükleme
recount	yeniden saymak
implant	implante etmek
auditory	işitsel
barber	berber
botanical	botanik
ethiopian	Etiyopyalı
footing	temel
chimney	baca
lantern	fener
receptive	anlayışlı
decor	dekor
remedial	iyileştirici
observatory	gözlemevi
runaway	Kaçmak
hamburger	hamburger
keeper	kaleci
sculptor	heykeltıraş
voltage	Gerilim
preseason	sezon öncesi
shout	bağırmak
pathway	yol
devoid	yoksun
stale	bayat
mobilization	seferberlik
limo	limuzin
robotic	robotik
prep	hazırlık
obedience	itaat
preservice	hizmet öncesi
radius	yarıçap
superpower	süper güç
patronage	himaye
asshole	Pislik
nightclub	gece kulübü
subsistence	geçim
modernism	modernizm
faa	faa
disposable	tek kullanımlık
immoral	ahlaksız
obese	obez
abandonment	terk edilme
vibration	titreşim
pessimistic	karamsar
hip-hop	hip-hop
contingent	koşullu
wallpaper	duvar kağıdı
convergence	yakınsama
guitarist	gitarist
appropriation	ödenek
depiction	tasvir
resilience	esneklik
translucent	yarı saydam
hungarian	Macarca
nicotine	nikotin
disrupt	bozmak
careless	dikkatsiz
cohesion	uyum
divisive	bölücü
directive	direktif
anthropological	antropolojik
carpenter	marangoz
handicap	handikap
quota	kota
induce	teşvik etmek
virgin	bakir
co-author	ortak yazar
battalion	tabur
unmistakable	açık
gait	yürüyüş
tester	testçi
chol	çikolata
incompatible	uyumsuz
fetal	fetal
coronary	koroner
vigor	kuvvet
ambivalence	kararsızlık
vet	veteriner
gunman	silahlı adam
yeast	maya
finn	Finlandiya
seductive	baştan çıkarıcı
self-conscious	İçine kapanık
acoustic	akustik
cynicism	alaycılık
at-risk	risk altında
logistics	lojistik
unavailable	müsait değil
benchmark	kalite testi
prom	balo
disdain	küçümsemek
incompetent	beceriksiz
banquet	ziyafet
insanity	delilik
clutch	debriyaj
burner	brülör
waterfront	sahil
nonexistent	var olmayan
suv	SUV
tidy	düzenli
spike	başak
suppression	bastırma
patriarchal	ataerkil
outing	gezi
highlight	vurgulamak
forgotten	unutulmuş
ballistic	balistik
jihad	cihat
year-old	yaşında
beta	beta
testosterone	testosteron
melt	eritmek
proactive	proaktif
im	Ben
weve	dokumak
troublesome	zahmetli
quiz	sınav
dropout	okuldan ayrılma
attainment	başarı
ac	klima
yugoslav	yugoslav
misunderstanding	yanlış anlama
pillar	ok
insure	sigortalamak
angular	açısal
treadmill	koşu bandı
s.f	sf
abdomen	karın
defect	kusur
elect	seçmek
of	ile ilgili
peel	soymak
firefighter	itfaiyeci
predicament	çıkmaz
wrath	gazap
newcomer	yeni gelen
forestry	ormancılık
motivate	motive etmek
continual	sürekli
islamist	İslamcı
dip	daldırma
slump	Çöküş
rash	döküntü
ghetto	getto
grandma	büyükanne
sensational	sansasyonel
cost-effective	uygun maliyetli
advertisement	reklamcılık
tug	römorkör
festive	festival
journalistic	gazetecilik
sublime	yüce
subscription	abonelik
algorithm	algoritma
two-hour	iki saat
turbulent	çalkantılı
preoccupation	meşguliyet
authorization	yetkilendirme
soften	yumuşatmak
flurry	telaş
portuguese	Portekizce
divinity	tanrısallık
backcountry	dağlık bölge
bulky	hantal
fellowship	kardeşlik
imprisonment	hapsetme
accessibility	erişilebilirlik
driven	tahrikli
humorous	esprili
relational	ilişkisel
naacp	naacp
reassure	güven vermek
methodological	metodolojik
paralysis	felç
checklist	kontrol listesi
poisoning	zehirlenme
imperfect	kusurlu
sane	aklı başında
unconventional	alışılmamış
differentiation	farklılaşma
exemplary	örnek niteliğinde
repetitive	tekrarlayan
stationary	sabit
pro-choice	seçim yanlısı
abstinence	yoksunluk
warden	gardiyan
purchasing	satın alma
crib	beşik
shrink	çekmek
ukrainian	Ukrayna
blaze	alev
colombian	Kolombiyalı
deduction	kesinti
co-founder	kurucu ortak
denim	kot
hypertension	hipertansiyon
closeness	yakınlık
monarchy	monarşi
torque	tork
grassy	çimenli
proxy	vekil
unpaid	ödenmemiş
fungus	mantar
backbone	omurga
bolster	desteklemek
savage	vahşi
proportional	orantılı
chord	akor
bloom	çiçek açmak
flank	kanat
scarlet	kırmızı
embryonic	embriyonik
earthly	dünyevi
overlap	örtüşmek
specify	belirtmek
palpable	aşikar
crossfire	çapraz ateş
forceful	güçlü
fluffy	kabarık
incremental	artan
addictive	bağımlılık yapıcı
mole	mol
tenor	tenor
invaluable	paha biçilmez
brittle	kırılgan
casualty	zayiat
improvisation	doğaçlama
lame	sakatlamak
receipt	fiş
luncheon	öğle yemeği
incarnation	enkarnasyon
pedal	pedal
poisonous	zehirli
mapping	haritalama
colonialism	sömürgecilik
menopause	menopoz
nebula	bulutsu
snap	patlatmak
serene	sakin
intrusion	izinsiz giriş
affinity	yakınlık
cassette	kaset
pest	zararlı
sensual	şehvetli
venerable	saygıdeğer
disproportionate	orantısız
wizard	sihirbaz
sluggish	halsiz
inflammatory	iltihaplı
boutique	butik
brigade	tugay
trump	koz
provoke	kışkırtmak
weaken	zayıflatmak
faulty	hatalı
broke	parasız
stylistic	stilistik
flute	flüt
lining	zar
three-day	üç günlük
choral	koro
showdown	hesaplaşma
two-story	iki katlı
rebuilding	yeniden inşa etme
validation	doğrulama
innate	doğuştan
reciprocal	karşılıklı
viral	viral
periphery	çevre
escort	eskort
margarine	margarin
triumphant	muzaffer
gloomy	kasvetli
operative	çalışan
leftist	solcu
fragment	parça
objectivity	objektiflik
endowment	bağış
present-day	günümüz
beetle	böcek
kinsley	Kinley
persuasion	ikna
chevy	chevy
artifact	eser
glaze	sır
varsity	üniversite
crawl	sürünmek
homage	saygı
manufacture	imalat
taut	gergin
jordanian	Ürdün
speedy	hızlı
sponsorship	sponsorluk
abstraction	soyutlama
intern	stajyer
flux	akı
pouch	kese
sludge	çamur
renew	yenilemek
anecdotal	anekdotsal
in-house	şirket içi
cerebral	beyinsel
belgian	Belçikalı
shoreline	kıyı şeridi
isolate	izole etmek
firsthand	ilk elden
mailbox	posta kutusu
upright	dik
nigerian	Nijeryalı
caption	altyazı
conform	uymak
bland	mülayim
thirsty	susuz
supplemental	tamamlayıcı
neural	sinirsel
termination	fesih
witty	esprili
all-american	tamamen Amerikalı
honorary	fahri
adoptive	evlat edinen
setback	aksilik
acknowledgment	teşekkür
fugitive	firari
